clean_comment,usyk_sentiment,fury_sentiment
well i guess he being brutally honest about it jellybelly furry would have to loose pound to fight usyk and i dont think he got the drive to loose weight anymore so why not just fight for big money hopefully he doesnt get any bigger then [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,neutral,negative
fury is hoping that usyk will get too old so that he cant use his high energy style he should stop the delay tactic and sign for usyk next now if he come out and admits that he is a afraid then thats okay too nothing wrong with being afraid but please stop lying about it [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,neutral,negative
usyk is a master boxer fury need an easy win ronnie o sullivan next [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,positive,negative
used to respect tyson after the wilder fight and he seemed hungry to compete no matter what look like it all gone to his head now this will tarnish his legacy so much and people will always remember him for ducking usyk [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,neutral,negative
big belly scared of usyk and aj [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,positive,negative
i mean this ha got to be a joke it funny that usyk actually ha more belt than fury but the perception is that fury ha all the belt it weird and now he running [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,positive,negative
all hail king usyk the real boxing champion [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,positive,neutral
usyk need fury more than fury need usyk fact are fact deal with it have a nice day kiddos [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,negative,positive
fury is afraid of usyk he know he would lose a fight [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,positive,negative
im annoyed that we wont see the usyk fight but i do understand what fury is saying he ha proved it all so why not just chase the money the mma talk though is pathetic fury would get destroyed in mma i think sometimes he mistake mma for streetfighting [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,neutral,negative
no fight make more money than usyk the real king [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,positive,neutral
they should put the switch fury go in the ring thinking he fighting ngannou then usyk step in the other corner and ngannou sits in the audience [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,neutral,neutral
thats because he know usyk would destroy him fury wouldnt get away with the open hand slap and the leaning on usyk usual tactic he can see the end of the road if he take this fight [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,positive,negative
you can see why from this interview tyson ha totally lost his fan base what tyson ha failed to understand is the fan bring in the money not him also tyson mention style make fight thats why tyson wa scared to face usyk [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,positive,negative
shameful tyson dont deserve to hold the belt that he hold blatantly saying he dont want to box the best it not fair on the boxer like usyk who have trained and fought hard to reach the level required to fight the best it a huge mug off to the sport of boxing and the fan [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,positive,negative
tyson the ducker all mouth he will fight usyk if he accepts a tiny percentage personally i now hope usyk completely ignores him and move on greedy belly [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,positive,negative
fury offered usyk still more money than in his last fight and usyk and his team declined after usyks last performance he wont hold those belt for very long [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,negative,neutral
hope someone beat usyk before he fight tyson because he wont beat him absolutely no chance only dw would have a chance i think maybe a good big up and coming guy might also but usyk is way to small [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,negative,positive
greedy belly want more money afraid of usyk [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,positive,negative
is fury scared of usyk [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,neutral,negative
fury beat wilder and wilder immediately became a no one for usyk and joshhua fangirls they are placing aj and usyk above wilder and fury lol [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,neutral,neutral
it obvious who the best hw in the world is and it aint fury the fraud big up usyk [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,positive,negative
there you have it he the one ducking usyk and joshua talk trash force him to vacate he not active enough and using the belt to increase fight ppv with nobody [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,neutral,negative
what happened to im all about legacy fury is a disgrace to professional boxing usyk deserves the chance of a unified fight strip the exhibitionist [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,positive,negative
a a fan of fury since he ha ruined his boxing legacy we all know he know a fight with usyk is he could lose he ruined his reputation [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,neutral,negative
usyk is the lineal heavyweight champion fury forfaited the rematch with klitschko and then retired so when joshua fought klitschko he won the lineal and the rest of the story is know usyk the real lineal heavyweight champion congratulation oleksander usyk [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,positive,negative
fury doesnt look healthy enough to fight usyk wich explains why he turned down a purse he should be stripped [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,neutral,negative
pointless interview you cant believe a word fury say hell only ever be remembered for ducking usyk and for all the lie [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,neutral,negative
sadly it not anywhere near the biggest fight understand going for the money thats fair usyk beat fury simple thats why fury run away [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,positive,negative
massive fury fan but if he dont fight usyk im done [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,neutral,negative
i agree with what he saying usyk should fight many top heavy weight before he get a shot at the top belt held by fury why should he get a chance to fight for unification after only having about fight at heavy weight [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,negative,neutral
ive been a fan of tyson for about year but now ive had enough of him prefer usyk [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,positive,negative
fury ducking usyk usykfury [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,positive,negative
unless anyone else ha missed it tyson just playing for time till usyks knowing he ll literally age overnight and get beat [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,negative,neutral
make no sense why he ducking so hard especially after usyk damn near got exposed with that controversial low blowbody shot it a shame because if he truly claim to be a great he would be fighting the best of the best not stopping down to fighting mma champion [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,negative,negative
used to love fury not anymore clearly a bottle job he will always be remembered for ducking usyk which is a shame given his trilogy with wilder the wbc need to step in here and strip him we all know usyk is the real champ now anyway but the wbc need to step in and formalise that [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,positive,negative
he got you all on string and it is really sad to see how many of you buy into his im only fighting for money approach a soon a saudi put up the number for furyusyk he will sign in a heartbeat it will end riyhad season in marchapril next year [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,neutral,negative
easy really make usyk mandatory for the wbc then see what fury doe but we all know the wbc is happy for fury to bring in the cash fighting bum [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,neutral,negative
fury the best of his era got all the former aj bandwagon usyk fan going mad lolfury playing game with the usyk fan boy at this point lol [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,negative,positive
what ha happened to tyson we have th other fury fighting youtubers now this i mean i wish him well he can fight who he want but to everyone else it look like he dodging usyk boxing is falling off a cliff [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,neutral,negative
a a massive tyson fury fan im done if he refuse to fight usyk he will forever be remembered for ducking him plus the wbc should strip him of the title if he refuse to fight the best fighter [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,neutral,negative
i love fury but he really need to fight usyk [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,neutral,positive
it an embarrassment at this point usyk is undisputed at cruiserweight move up to heavyweight becomes unified and one fight off becoming undisputed but fury is too scared if he isnt sure hell win he wont take it [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,positive,negative
the problem i have with this is that francis in no way shape or form prepares fury to fight usyk there are similarity between the two [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,neutral,negative
stop it fury didnt plan this and he not a genius he ducked usyk and it took seeing daniel dubois hurt usyk to the body before he had the ball to fight usyk plain and simple u can twist it however u would like [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,neutral,negative
yes to fury this is a sparring match people genuinely believe francis can outbox and beat fury which is utterly ridiculous theyre the same people who think usyk will be fury fury beat usyk in round [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,negative,positive
no fury isnt a genius he is a ducking clown even if he beat usyk it still not enough he need to defend the title multiple time against top fighter because at the end of the day style make fight [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,neutral,negative
tyson is not a genius clearlyhim and frank have forced usyk to fight two of his fighter before he doe purely to get frank a bag zero integrity [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,neutral,negative
fury loses to usyk his elbow and knee are shot his body is falling apart his last two opponants have been slow plodding fighter so people havent seen it yet but it will be exposed agaisnt usyk if he actually fight him that iz [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,positive,negative
or the usyk v fury fight wont happen and they are just using it to generate interest in this clown show fight v ngannou it wouldnt surprise me at all if within a week of two after fury fight ngannou negotiation fall through for undisputed [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,neutral,negative
rooting for usyk fury ha become so unlikable lately but will forever be happy knowing he whooped wilder all time [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,positive,negative
tyson fury by tko or usyk by point [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,neutral,neutral
usyk will forever have my respect for keeping the hw division afloat by not ducking tough opponent and being willing to get a massive paycut to make the undisputed fight happen asap tyson fury on the other hand is a greedy belly [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,positive,negative
plot twist francis spark fury out cold then challenge usyk and take his belt to become the boxing goat and dana white ha a cardiac arrest [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,neutral,negative
after eddie heard the news of fury usyk he went to matchroom hq and battered frank smith angrily around the ring frank then pulled up his pant [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,neutral,neutral
fury usyk really is a game changer a boxer fighting a boxer well done [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,positive,positive
fucking brilliant news i hope fury v usyk happens in december a great fight to finish out the year hopefully hearn can get benn v eubank done for december a well and also get aj out for a fight that sound like a cracking christmas to me [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,positive,positive
if furyusyk happens in dec it will be the best year in boxing since a we would have had tankgarica spencecrawford inouefulton in we had hayebellew joshuaklitschko and brookspence [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,neutral,neutral
eddie and his acolyte have been insinuating that fury wa ducking usyk for the past month [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,neutral,negative
fury v usyk is a big fight for the hardcore boxing fan i dont think it will resonate with the casual and not perform too well on ppv [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,neutral,neutral
i would love to see fury beat usyk and aj beat wilder then we can have aj v fury in the uk [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,negative,positive
warren used dubious to fight usyk to test the water for luke fury [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,neutral,neutral
matchroom casuals in the mud now fury usyk signed but dont worry because joshua wilder locked in for december the saudi are in town to sign the deal [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,neutral,neutral
all of you are faguets for real and tyson will not need your mind pression to fight with usyk boxing is a way bigger than any champion you can bring the best of them day boxing never do [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,neutral,neutral
it will not happen more a publicity stunt to promote the nganou fight believe this when you see tyson in the ring with usyk [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,neutral,neutral
this fight only announced to take the heat off fury and get eye on the ngannou fight fury aint gon na fight usyk he said so himself the day before this announcement [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,neutral,negative
i think they have come out with this news before fury fight ngannou hoping the ngannou fight will get more ppvs and try reclaim some of the fan fury ha lost by messing his fan about not fighting usyk previously [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,neutral,negative
i dont have any faith in fury fighting usyk he should just give up the belt an stop with the game [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,neutral,negative
zhilei zhang ko joe joyce then call out tyson fury le than a week later fury sign the usyk fight guess hed rather fight a middleweight than a heavyweight [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,neutral,negative
imagine thinking fury v niganou will sell more than usyk v fury [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,neutral,neutral
how is fury the best he beat vlad k im not gon na say d wilder cause none of you on this panel think he is good or is he good when it come to give fury a name until fury beat usyk he is not the best [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,neutral,negative
usyk team ha also announced it because conman warren would have told them it on and after this next farce of a fight hell just say it broke down so were looking at other option [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,neutral,negative
the boxing committee should strip wbc belt from tyson fury so usyk can fight to get the undisputed belt [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,neutral,negative
the best person to ask whether it real is usyks promoter otherwise it more b from fury who think the fan are dosser [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,neutral,negative
fury is just using usyks name to sell his ngannou fight he done it many time before eg last year he said to aj you lost twice i want to help you ill give you a shot then he didnt he told joyce hey i want to help you spar v zhang then asked for a day lol the guy a psycopath [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,neutral,negative
porter and co need to look at whats happening outside their own border more often fury reluctance to fight usyk ha cost him of his fan base and branded a disgrace by his own people he ha to take the fight to restore the legacy [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,neutral,negative
fury isnt the best in the world the only guy on his resume is really wilder thats why zhang v wilder would be awesome outside of wilder ha fury faced ruiz or usyk nope [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,neutral,negative
tyson fury and usyk fight is massive everyone want to see it happen fury is playing his mind game [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,neutral,positive
he definitely fighting usyk the saudi basically fired prince khalid over this fury is getting the bag straight from the crown prince de facto king of saudi arabia now it going to be a breath taking figure [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,neutral,positive
warren probably had his appeal go through and after fury ngannou theyll announce that the dubious usyk rematch ha to happen first [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,neutral,neutral
i dont believe it either fury cant go from whyte chisora fransis to usyk [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,neutral,negative
fury is not going to fight usyk he is just saying it to sell the cherry pick fight against francis watch it be a cherry pick gone wrong too [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,neutral,negative
usyk announced the fight also the reason why the fury v usyk fight ha been announced so early is because the traction leading up to the ngannou fight ha been horrible these cross over fight are not drawing the same money anymore [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,neutral,neutral
usyk ha done more in his short time at heavy weight then fury ha done his whole career there let that sink inand yall still say fury is the best which is crazy to me this is why he think he can just do what he want [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,positive,negative
the usyk fight with dubois is giving fury sense of false illusion having seen how poorly usyk did with dubois who is a quitter just like when usyk fought derrick chizero everyone said that usyk cant compete with aj [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,negative,neutral
it not a joke fury will stop usyk in under round [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,negative,positive
these guy have no idea how much fury is getting paid for the usyk fight [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,neutral,neutral
i dont know whats more upsettingthe fact that well never see fury v usykor that shawn ha the same hair dresser a money mike [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,neutral,neutral
i feel after seeing the dubois fight he ha decided that this will be an easier fight than he first thought and it sound like saudi arabia is ready to pay the big buck for this fight usyk wanted more money fury wanted more money and it look like it ha arrived so there is no more roadblock [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,neutral,neutral
this ha to be a big joke why even announce it one month before fury v francis when the few people caring about this exhibition match now are gon na avoid it anyway dont believe anything until a proper press conference ha been made with both fury and usyk during a face off and etc [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,neutral,neutral
i think he scared of usyk also i thought it wasnt about the money tyson [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,positive,negative
to be the best ya got ta fight the best ducking usyk make you fraud gypsy king nah mate embarrassment to yourself and your legacy [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,neutral,negative
come on belly fight usyk [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,neutral,neutral
dont think frazer will ever be world champ in this era but i like him and wish him luck with the younger lot he may win a world title but with wilder aj fury and usyk he doesnt win one [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,neutral,neutral
who win between tyson fury oleksandr usyk [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,neutral,neutral
this is only now because zhang put it on fury and now he left with no choice either lose on point to usyk or get knocked put by zhang [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,neutral,negative
usyk is the one who been ducking the fight he only wanted to fight in saudi so he can get more money fury will hammer him [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,negative,positive
i think they have come out with this news before fury fight ngannou hoping the ngannou fight will get more ppvs and try reclaim some of the fan fury ha lost by messing his fan about not fighting usyk previously [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,neutral,negative
fury dhould let his cousin huey fury step in and fight ninganu and dodge that potenial banana peel and focus fully on being fight fit to bang out usyk [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,neutral,positive
frank cant sell the nnganou fight sale are down ppv is not looking good now he mentioning usyk to make it all sound good tyson dont want that fight [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,neutral,negative
frank is a smart promoter he ha just made the fury v ngannou fight relevant and people will watch this fight now watching to see if fury loos this wa smart timing to announce fury v usyk [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,neutral,neutral
usyk is about like when adamek wa beating up on an old goliath to me this fight mean nothing fury took this fight a the lesser of two evil nobody want to fight zhang right nowmost exciting fighter the hw division ha seen in year [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,neutral,negative
no one out here ha any confidence this is happening fury apparently ha seen it ok to continually low blow usyk so ha a plan [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,negative,neutral
so a week ago fury said he will never fight usyk ever frank warren is so full of s untill there in the ring i dont believe it simple a that [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,neutral,neutral
didnt fury say day ago hell never fight usyk [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,neutral,neutral
of course he wont tell u the purse split cause it will show that the gypsy waffler is getting the largest cut and that usyk is up for the fight no matter what [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,positive,negative
fury gon na duck again usyk to win [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,positive,negative
fury usyk locked in for december koogz [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,neutral,neutral
fury win that fight if and when it ever happens too big too powerful and to skilful for usyk imo really hope it materialises because it the fight everybody want too see [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,negative,positive
until the dubois case come through and then theyll delay fury v usyk and say it out of their hand but this will help sell the ngannou fight [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,neutral,neutral
fury ha finally agreed to this now because he seen a weakness in usyk and doesnt want to fight zhang [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,negative,positive
usyk took i order to fight for glorycant stand fury [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,positive,negative
fury ha made all the hater look like right mug scared of usyk haha [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,neutral,positive
hope tyson will loss against francis and than loss against usyk toousyk ha the most to losse he is the not tyson [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,positive,negative
i think ill wait for usyks side to confirm further ill wait for fury to actually get in the ring no injury no tune ups no mental breakdown no negotiation sabotage no nganou rematch no flip flopping if this doe not happen fromthis point fury and frank will be an ultimate joke [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,neutral,negative
this fight wa always on the card the gullible public bought into the medium narrative that fury wa running scared of usyk excellent job in promoting a fight that fury will not have to step out of his comfort zone to win [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,negative,positive
frank is not giving the date because he know usyk would show up for fury next fight and then face off in the ring after what a fight this would be hopefully we dont get yet another disappointment [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,positive,neutral
frank confirmed it not happening probably getting no interest in the sham fight with francis i do want to see the usyk v fury fight but there not a chance it confirmed [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,neutral,neutral
fury saw the zhang fight and decided he is fighting usyk [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,neutral,neutral
let be honest who care boxing is a complete joke these day usyk v fury should have happened a long time ago i just hope fury get knocked out in his next fight and at this weight it can happen getting rid of fury will help the heavyweight division move forward rather than stagnate [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,neutral,negative
frank promise this to raise sale for the ngannou fight frankfury do a uturn on this after the ngannou fight and blame it on usyk [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,negative,neutral
not surprised how quickly fury signed after watching usyk v dubois definitely ducked usyk the first time [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,positive,negative
this ha to be a big joke why even announce it one month before fury v francis when the few people caring about this exhibition match now are gon na avoid it anyway dont believe anything until a proper press conference ha been made with both fury and usyk during a face off and etc [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,neutral,neutral
tyson yesterday said he would never fight aj or usyk and that he didnt need too no one seems to picked up on this [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,neutral,neutral
when usyk give his next opponent a boxing lesson then fury will get injured or else come up with the depression excuse like he did with the klitchko rematch stay away from the wild boar meat gypsy queen clearly nobody wa buying ticket for the ngannou money grab [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,positive,negative
everyone saying fury wa dodging usyk fury know what he is doing he is a very clever businessman and fighter i can not wait [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,neutral,positive
usyk kick the fat belly butt [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,positive,negative
fury wasted about about year of negotiation just so he could earn an extra usyk knew the wbc would never strip him so he gave in and took a crap deal just to get the belt [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,negative,negative
this is all b hype usyk already accepted the before they dont even have a date in place i wont be in the slightest bit surprised if fury still duck it weve heard it before that the fight is on from frogman gob himself [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,neutral,negative
at last i can be a fury fan again i thought he wa avoiding usyk and now it on hopefully tyson will be undisputed champion of the world [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,neutral,positive
interesting possibility let hear from usyk doe he agree that everything is signed or are there other condition precedent beyond that fury ha to win his forthcoming fight free of injury and the actual date and actual venue are not yet fixed [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,neutral,neutral
punch a fight fatty fury v punch per fight usykonly winner and it not the fat dinner lady [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,positive,negative
fury would have seen the dubois fight and not been impressed by usyk for this to have been agreed out of the blue like this i still wont believe it until i see it though [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,negative,neutral
the gypsy king gunna be throwing egg in all the fickle boxing fan face again after he smash up usyk they will say he beat a middleweight lol [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,negative,positive
so ill keep my ppv money for this fury usyk fight now frank cheer [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,neutral,neutral
